Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
281,1,1,1,9,0,0,0,1,"1-1-0001-0009-00-00-00-01","1-01-0001-0009-00-00-00-01"
282,1,14,6,15,0,0,0,1,"1-14-0006-0015-00-00-00-01","1-14-0006-0015-00-00-00-01"
283,1,14,6,17,0,0,0,1,"1-14-0006-0017-00-00-00-01","1-14-0006-0017-00-00-00-01"
284,1,1,1,7,0,0,0,1,"1-1-0001-0007-00-00-01","1-01-0001-0007-00-00-00-01"
285,1,1,1,7,0,0,0,1,"1-1-0001-0007-00-00-00-01","1-01-0001-0007-00-00-00-01"
286,1,1,1,6,0,0,0,1,"1-1-0001-0006-00-00-00-01","1-01-0001-0006-00-00-00-01"
287,1,1,1,5,0,0,0,1,"1-1-0001-0005-00-00-00-01","1-01-0001-0005-00-00-00-01"
288,1,1,1,4,0,0,0,1,"1-1-0001-0004-00-00-00-01","1-01-0001-0004-00-00-00-01"
289,1,1,1,3,0,0,0,1,"1-1-0001-0003-00-00-00-01","1-01-0001-0003-00-00-00-01"
290,1,1,1,2,0,0,0,2,"1-1-0001-0002-00-00-00-02","1-01-0001-0002-00-00-00-02"
291,1,1,1,2,0,0,0,1,"1-1-0001-0002-00-00-00-01","1-01-0001-0002-00-00-00-01"
292,1,1,1,1,0,0,0,1,"1-1-0001-0001-00-00-00-01","1-01-0001-0001-00-00-00-01"
293,1,1,0,0,0,0,0,1,"1-1-0000-0000-00-00-00-01","1-01-0000-0000-00-00-00-01"
294,1,14,6,22,0,0,0,1,"1-14-0006-0022-00-00-00-01","1-14-0006-0022-00-00-00-01"
295,1,14,6,21,0,0,0,1,"1-14-0006-0021-00-00-00-01","1-14-0006-0021-00-00-00-01"
296,1,14,6,20,0,0,0,1,"1-14-0006-0020-00-00-00-01","1-14-0006-0020-00-00-00-01"
297,1,14,6,19,0,0,0,1,"1-14-0006-0019-00-00-00-01","1-14-0006-0019-00-00-00-01"
298,1,14,6,18,0,0,0,1,"1-14-0006-0018-00-00-00-01","1-14-0006-0018-00-00-00-01"
299,1,14,6,16,0,0,0,1,"1-14-0006-0016-00-00-00-01","1-14-0006-0016-00-00-00-01"
300,1,20,5,6,0,0,0,1,"1-20-0005-0006-00-00-00-01","1-20-0005-0006-00-00-00-01"
